ticket_id,title,description,category,resolution,priority,department,created_at
TKT-2024-00020,"Kubernetes pod crashing in production cluster","Pod in the 'payment-service' deployment is crashing with OOMKilled errors. Logs show memory spike during transaction processing.",Infrastructure,"Increased the memory limit and request for the pod definition. Also fixed a code issue causing a memory leak in the application.",P1 Critical,Cloud Platform Engineering,2024-04-25 23:50:12
TKT-2024-00021,"Phishing email reported by multiple users","Widespread phishing campaign mimicking internal HR detected. Several users clicked the link before reporting.",Security,"Quarantined the emails from all mailboxes using EDR. Blocked the URL at the firewall and DNS level. Sent company-wide alert.",P2 High,Security Operations Center (SOC),2024-08-17 07:15:45
TKT-2024-00022,"SAP GUI client crashing on launch for specific users","Users on Windows 11 report SAP GUI crashing immediately after login. Event Viewer shows a .NET runtime error.",Application,"Pushed a registry fix via Group Policy to adjust the compatibility settings for the SAP executable on Windows 11 machines.",P3 Medium,Application Support Team,2024-10-31 14:22:03
TKT-2024-00023,"BGP session flapping on edge router RTR-EDGE-01","The BGP session with our ISP is flapping, causing brief internet outages. Logs show TCP resets.",Network,"Identified a faulty SFP module on the ISP side. Coordinated with ISP to replace the module, stabilizing the session.",P1 Critical,Network Operations Center (NOC),2024-01-15 18:05:55
TKT-2024-00024,"Missing data in data warehouse ETL job","The daily ETL job from OLTP to data warehouse finished but is missing last 6 hours of transaction data.",Database,"Found that the source transaction log was full, halting replication. Freed up log space and re-ran the incremental ETL job.",P2 High,Database Administration (DBA),2024-12-11 02:45:19
TKT-2024-00025,"New hire onboarding workflow stuck in ServiceNow","The IT onboarding workflow for a new hire is stuck at the 'Provision Laptop' stage. The task is unassigned.",Application,"Reassigned the stuck task to the correct queue and manually triggered the workflow engine to resume processing.",P4 Low,Application Support Team,2024-03-25 12:35:40
TKT-2024-00026,"Azure VM deployment via Terraform failing","Terraform script for deploying a new Azure VM fails with error 'sku not available' in the target region.",Infrastructure,"Updated the Terraform script to specify an alternative VM SKU that is available in the region. Deployment succeeded.",P3 Medium,Cloud Platform Engineering,2024-07-08 19:20:11
TKT-2024-00027,"Privileged account audit request","Compliance team requests an audit report of all users with Domain Admin privileges for quarterly review.",Security,"Exported a report from Active Directory and Okta of all accounts in privileged groups. Provided analysis of last login times.",P4 Low,Security Operations Center (SOC),2024-05-29 10:10:10
TKT-2024-00028,"Cannot RDP to jump server JMP-01","Administrators cannot RDP to the bastion host JMP-01. Connection times out. The server is pingable.",Network,"Windows Firewall on JMP-01 had a corrupted profile. Reset the firewall to default settings and re-applied the required rules.",P2 High,Network Operations Center (NOC),2024-09-03 08:55:27
TKT-2024-00029,"Application returning HTTP 503 Service Unavailable","Customer-facing web app is returning 503 errors. The load balancer shows all backend servers are marked as unhealthy.",Application,"Restarted the application pool on all web servers after identifying a deadlock condition in the session state service.",P1 Critical,Application Support Team,2024-06-06 05:40:33
TKT-2024-00030,"Request to deprovision contractor access","HR notified that contractor C123's assignment has ended. Need to disable all system access immediately.",Access Management,"Disabled the user account in Okta, revoked all assigned application accesses, and terminated active sessions.",P3 Medium,Identity & Access Management (IAM),2024-11-19 16:15:02
TKT-2024-00031,"SAN storage array showing degraded performance","Performance metrics on the NetApp SAN show high latency on several LUNs hosting virtual machine datastores.",Infrastructure,"Identified and relocated several high-IO VMs to a different aggregate. Rebalanced the load and performance returned to normal.",P2 High,Cloud Platform Engineering,2024-04-12 21:30:48
TKT-2024-00032,"PostgreSQL replication broken after OS update","Streaming replication to standby server DB-STBY-01 broke after a scheduled OS patching reboot.",Database,"Re-synced the standby by taking a fresh base backup from the primary and re-establishing the replication slot.",P3 Medium,Database Administration (DBA),2024-02-07 07:05:14
TKT-2024-00033,"IDS alert for port scan from internal IP","Intrusion Detection System alerted on a horizontal port scan originating from an internal development server.",Security,"Investigated the server; found a misconfigured vulnerability scanner run by a developer. Stopped the scan and educated the user.",P3 Medium,Security Operations Center (SOC),2024-10-25 13:48:26
TKT-2024-00034,"VoIP phone system call quality issues","Users report choppy audio and dropped calls on the Cisco VoIP system, primarily in the accounting department.",Network,"Prioritized VoIP traffic (DSCP EF) on the switch ports and enabled QoS on the core router to guarantee bandwidth.",P3 Medium,Network Operations Center (NOC),2024-08-04 11:12:09
TKT-2024-00035,"Legacy application cannot connect to SQL Server 2019","An older internal app fails with connection errors after the database migration to SQL Server 2019.",Application,"Enabled TLS 1.2 on the application server and updated the connection string to require encrypted connection.",P3 Medium,Application Support Team,2024-12-18 09:40:55
TKT-2024-00036,"AWS CloudTrail logs not delivering to Splunk","CloudTrail logs have stopped being ingested into the Splunk index for the past 4 hours. S3 bucket has new logs.",Infrastructure,"Restarted the Splunk Heavy Forwarder instance and verified the S3 input configuration. Log flow resumed.",P3 Medium,Cloud Platform Engineering,2024-03-03 20:25:16
TKT-2024-00037,"Database corruption detected in test environment","DBCC CHECKDB reported allocation errors on the TEST-SQL-01 database during routine maintenance.",Database,"Restored the database from the previous night's backup as it was a non-critical test environment.",P4 Low,Database Administration (DBA),2024-01-08 06:50:41
TKT-2024-00038,"User's multi-factor authentication device lost","User traveling internationally lost their YubiKey used for Okta MFA. Requires immediate reset and new method setup.",Access Management,"Removed the lost YubiKey from the user's Okta profile. Enabled SMS and email as temporary MFA and guided setup of TOTP app.",P3 Medium,Identity & Access Management (IAM),2024-05-14 15:18:32
TKT-2024-00039,"Web application firewall blocking legitimate traffic","The WAF is blocking POST requests to the login endpoint for users from a specific geographic region.",Security,"Created an exception rule in the WAF policy for the legitimate traffic pattern after confirming it was not malicious.",P3 Medium,Security Operations Center (SOC),2024-07-29 10:33:07
TKT-2024-00040,"DNS resolution failure for internal domains","Internal DNS queries for .corp domains are failing sporadically. External DNS resolution works.",Network,"Restarted the DNS service on the secondary DNS server which had a corrupted cache. Verified zone transfers were working.",P2 High,Network Operations Center (NOC),2024-11-11 12:09:51
TKT-2024-00041,"VMware vCenter alarm - datastore usage critical","vCenter is alerting that datastore DS-PROD-03 is at 98% capacity. Several VMs are stored here.",Infrastructure,"Identified and deleted old snapshots and migrated non-critical VMs to another datastore to free up space.",P2 High,Cloud Platform Engineering,2024-06-20 17:45:23
TKT-2024-00042,"Oracle APEX application slow on complex reports","Users report timeouts when running specific analytical reports in the Oracle APEX application.",Database,"Added query hints and created materialized views for the complex reports to pre-aggregate the data.",P3 Medium,Database Administration (DBA),2024-09-07 08:12:58
TKT-2024-00043,"Splunk search head not returning results","Splunk search head SH-01 is returning 'waiting for results' indefinitely. Indexers are healthy.",Application,"Cleared the search head's cache and restarted the splunkd service. Verified network connectivity to indexer cluster.",P3 Medium,Application Support Team,2024-04-08 14:28:04
TKT-2024-00044,"Request for firewall rule for new SaaS application","The marketing team needs outbound access to a new SaaS analytics platform on TCP port 443.",Security,"Performed a risk assessment of the SaaS provider. Implemented the firewall rule with source IP restriction and logged the change.",P4 Low,Security Operations Center (SOC),2024-02-22 11:55:29
TKT-2024-00045,"Ansible Tower job hung on 'running'","An Ansible Tower job to patch Linux servers has been stuck in 'running' state for 2 hours with no output.",Infrastructure,"Found a zombie process on the Ansible Tower node. Killed the process and restarted the Ansible Tower service.",P3 Medium,Cloud Platform Engineering,2024-10-09 18:05:37
TKT-2024-00046,"Need to merge duplicate user accounts","Audit found two Active Directory accounts for the same user (jsmith). One is used for email, the other for applications.",Access Management,"Used AD tools to merge the accounts, preserving group memberships and mailbox. Disabled the duplicate account.",P4 Low,Identity & Access Management (IAM),2024-01-25 13:40:12
TKT-2024-00047,"Broadcast storm detected on switch SW-ACCESS-12","Network monitoring shows a broadcast storm originating from switch in the marketing department, causing network slowness.",Network,"Disabled the offending network port where a misconfigured network device was causing a loop. Enabled storm-control on the switch.",P2 High,Network Operations Center (NOC),2024-07-16 21:15:44
TKT-2024-00048,"MongoDB primary node election failure","The MongoDB replica set failed to elect a primary after a planned maintenance, leaving the cluster read-only.",Database,"Forced a reconfiguration of the replica set by removing the offline node's entry and initiating a new election.",P1 Critical,Database Administration (DBA),2024-03-19 04:30:20
TKT-2024-00049,"Jenkins pipeline failing at Docker build stage","CI/CD pipeline fails when trying to build a Docker image, error: 'Cannot connect to the Docker daemon'.",Infrastructure,"Restarted the Docker service on the Jenkins build agent and added the Jenkins user to the docker group.",P3 Medium,Cloud Platform Engineering,2024-05-01 10:00:05
TKT-2024-00050,"User receives 'Invalid security certificate' in browser","User cannot access the internal company portal, browser shows certificate error NET::ERR_CERT_DATE_INVALID.",Security,"The internal CA certificate had expired on the web server. Renewed and deployed the new certificate via Group Policy.",P3 Medium,Security Operations Center (SOC),2024-08-26 09:22:31
TKT-2024-00051,"Server Down","PROD-APP-07 is down after a recent update.","Infrastructure","Rebooted the server and applied rollback. Verified with ServiceNow.","P1 Critical",Cloud Platform Engineering,2024-03-15 10:20:00
TKT-2024-00052,"API Timeout","STG-WEB-12 is experiencing API timeouts during peak hours.","Application","Optimized query parameters and increased connection limits. Verified with Jira.","P3 Medium",Application Support Team,2024-02-28 15:30:00
TKT-2024-00053,"Phishing Attempt","SOC alerted on a phishing email sent to all employees.","Security","Sent out an alert and updated MFA for affected users. Conducted a security training session.","P2 High",Security Operations Center (SOC),2024-01-10 08:45:00
TKT-2024-00054,"Slow Queries","DBA reported slow queries on PROD-RDS-03.","Database","Optimized indexes and adjusted query execution plan. Verified with SQL*Plus.","P2 High",Database Administration (DBA),2024-11-18 14:55:00
TKT-2024-00055,"VLAN Misconfig","NOC reported VLAN misconfiguration between DC-A and DC-B.","Network","Fixed the VLAN settings and tested connectivity. Verified with ping and traceroute.","P3 Medium",Network Operations Center (NOC),2024-10-05 17:00:00
TKT-2024-00056,"User Access Denied","AD groups reported an issue preventing user access to PROD-APP-08.","Access Management","Updated AD group membership and verified with Azure AD PowerShell module.","P2 High",Identity & Access Management (IAM),2024-07-12 09:15:00
TKT-2024-00057,"Replication Lag","DBA reported replication lag on PROD-MYSQL-04.","Database","Checked the replication status and resolved with sync. Verified with Percona XtraBackup.","P3 Medium",Database Administration (DBA),2024-09-19 18:25:00
TKT-2024-00058,"Ransomware Attack","SOC detected a ransomware attack on PROD-SERVER-05.","Security","Isolated the server, ran a full scan, and restored data from backup. Verified with Bitdefender Enterprise Edition.","P1 Critical",Security Operations Center (SOC),2024-04-03 11:35:00
TKT-2024-00059,"Memory Leak","Application Support Team reported a memory leak in PROD-APP-07.","Application","Replaced the problematic library and verified with JProfiler.","P2 High",Application Support Team,2024-12-22 13:45:00
TKT-2024-00060,"DNS Failure","Network Operations Center reported DNS resolution issues for external domains.","Network","Updated the local DNS cache and verified with nslookup.","P3 Medium",Network Operations Center (NOC),2024-01-15 16:55:00
TKT-2024-00061,"Service Account Rotation","Identity & Access Management (IAM) reported a service account rotation issue.","Access Management","Renewed the service account and updated all affected applications. Verified with AWS IAM Console.","P2 High",Identity & Access Management (IAM),2024-08-30 09:05:00
TKT-2024-00062,"Deployment Failure","Application Support Team reported a deployment failure on PROD-APP-07.","Application","Fixed the configuration and redeployed. Verified with Terraform logs.","P2 High",Application Support Team,2024-11-15 14:15:00
TKT-2024-00063,"SSO Issues","Identity & Access Management (IAM) reported SSO issues for PROD-WEB-09.","Access Management","Fixed the SAML configuration and tested with Okta. Verified with Single Sign-On test case.","P3 Medium",Identity & Access Management (IAM),2024-06-17 15:25:00
TKT-2024-00064,"Backup Failure","DBA reported a backup failure on PROD-MYSQL-04.","Database","Ran the backup manually and verified with RMAN logs.","P3 Medium",Database Administration (DBA),2024-12-15 17:35:00
TKT-2024-00065,"Vulnerability Scan","Security Operations Center reported new vulnerabilities on PROD-WEB-09.","Security","Applied patches and configured remediation scripts. Verified with Nessus scan.","P2 High",Security Operations Center (SOC),2024-10-28 10:45:00
TKT-2024-00066,"K8s Pod Crash","Cloud Platform Engineering reported a K8s pod crash on PROD-K8S-NODE-03.","Infrastructure","Restarted the pod and verified with Kubernetes dashboard logs.","P2 High",Cloud Platform Engineering,2024-11-05 12:55:00
TKT-2024-00067,"AD Group Mismatch","Identity & Access Management (IAM) reported an AD group mismatch for PROD-APP-08.","Access Management","Updated the AD group and verified with Azure AD PowerShell module.","P3 Medium",Identity & Access Management (IAM),2024-09-15 14:05:00
TKT-2024-00068,"Webhook Failure","Application Support Team reported a webhook failure on PROD-APP-07.","Application","Checked the webhook URL and configured it again. Verified with Postman.","P2 High",Application Support Team,2024-12-30 15:15:00
TKT-2024-00069,"BGP Flap","Network Operations Center reported a BGP flap between DC-A and DC-C.","Network","Checked the BGP configuration and resolved with BGP reset. Verified with BGPdump logs.","P3 Medium",Network Operations Center (NOC),2024-11-25 16:25:00
TKT-2024-00070,"Load Balancer Issue","Cloud Platform Engineering reported an issue with PROD-LB-07.","Infrastructure","Reconfigured the load balancer and verified with AWS ELB logs.","P3 Medium",Cloud Platform Engineering,2024-08-15 10:35:00
TKT-2024-00071,"ORA-12541 Error","Database Administration (DBA) reported an ORA-12541 error on PROD-RDS-03.","Database","Checked the listener configuration and restarted. Verified with SQL*Plus.","P3 Medium",Database Administration (DBA),2024-12-18 17:45:00
TKT-2024-00072,"VPN Drop","Network Operations Center reported a VPN drop between HQ and DC-A.","Network","Checked the VPN configuration and resolved with re-establishing the connection. Verified with VPN client logs.","P3 Medium",Network Operations Center (NOC),2024-11-08 15:55:00
TKT-2024-00073,"Schema Migration","DBA reported an issue during schema migration on PROD-MYSQL-04.","Database","Ran the migration script again and verified with DBAdmin tool.","P3 Medium",Database Administration (DBA),2024-12-25 18:05:00
TKT-2024-00074,"CrowdStrike Alert","Security Operations Center reported a CrowdStrike alert on PROD-SERVER-05.","Security","Checked the threat intelligence and updated rules. Verified with CrowdStrike console.","P3 Medium",Security Operations Center (SOC),2024-10-22 16:15:00
TKT-2024-00075,"DDoS Attack","Network Operations Center reported a DDoS attack on PROD-NETWORK-01.","Network","Implemented rate limiting and firewall rules. Verified with Network Traffic Analyzer logs.","P1 Critical",Network Operations Center (NOC),2024-11-30 17:25:00
TKT-2024-00076,"Deployment Issues","Application Support Team reported deployment issues on PROD-APP-08.","Application","Fixed the deployment scripts and redeployed. Verified with Jira.","P2 High",Application Support Team,2024-12-31 19:35:00
TKT-2024-00077,"MFA Failure","Identity & Access Management (IAM) reported an MFA failure for PROD-WEB-09.","Access Management","Enabled MFA for the user and verified with Azure AD PowerShell module.","P2 High",Identity & Access Management (IAM),2024-10-30 10:45:00
TKT-2024-00078,"Webhook Timeout","Application Support Team reported a webhook timeout on PROD-APP-07.","Application","Checked the network latency and configured retry logic. Verified with Postman.","P2 High",Application Support Team,2024-12-29 15:55:00
TKT-2024-00079,"Firewall Rule Issue","Network Operations Center reported an issue with firewall rules on PROD-NETWORK-01.","Network","Updated the firewall rules and verified with AWS Firewall Manager logs.","P3 Medium",Network Operations Center (NOC),2024-11-06 17:05:00
TKT-2024-00080,"Offboarding User","Identity & Access Management (IAM) reported an offboarding user issue for PROD-WEB-09.","Access Management","Removed the user from all groups and updated access controls. Verified with Azure AD PowerShell module.","P2 High",Identity & Access Management (IAM),2024-12-05 18:15:00
TKT-2024-00081,"Connection Pool Issue","Database Administration (DBA) reported a connection pool issue on PROD-MYSQL-04.","Database","Reconfigured the connection pool settings and verified with SQL*Plus.","P3 Medium",Database Administration (DBA),2024-11-27 19:25:00
TKT-2024-00082,"Grafana Alert","Cloud Platform Engineering reported a Grafana alert on PROD-METRICS-01.","Infrastructure","Checked the metrics and configured alert thresholds. Verified with Grafana dashboard.","P3 Medium",Cloud Platform Engineering,2024-12-15 17:35:00
TKT-2024-00083,"VLAN Configuration","Network Operations Center reported a VLAN configuration issue between DC-B and DC-C.","Network","Checked the VLAN configuration and resolved with BGP reset. Verified with BGPdump logs.","P3 Medium",Network Operations Center (NOC),2024-11-19 18:45:00
TKT-2024-00084,"Security Scan","Security Operations Center reported a new security scan on PROD-SERVER-05.","Security","Applied patches and configured remediation scripts. Verified with Nessus scan.","P2 High",Security Operations Center (SOC),2024-12-03 19:55:00
TKT-2024-00085,"API Key Rotation","Identity & Access Management (IAM) reported an API key rotation issue for PROD-WEB-09.","Access Management","Renewed the API key and updated all affected applications. Verified with AWS IAM Console.","P2 High",Identity & Access Management (IAM),2024-11-30 17:05:00
TKT-2024-00086,"Database Replication Lag","DBA reported a replication lag on PROD-MYSQL-04.","Database","Checked the replication status and resolved with sync. Verified with Percona XtraBackup.","P3 Medium",Database Administration (DBA),2024-12-10 19:15:00
TKT-2024-00087,"Network Latency","Network Operations Center reported high network latency between HQ and DC-A.","Network","Checked the network path and resolved with AWS Route 53 optimization. Verified with Network Traffic Analyzer logs.","P3 Medium",Network Operations Center (NOC),2024-11-20 17:25:00
TKT-2024-00088,"Microservice Failure","Application Support Team reported a microservice failure on PROD-APP-07.","Application","Checked the service logs and fixed the issue. Verified with Jira.","P2 High",Application Support Team,2024-12-23 19:35:00
TKT-2024-00089,"DDoS Mitigation","Network Operations Center reported a DDoS mitigation on PROD-NETWORK-01.","Network","Implemented additional rate limiting and firewall rules. Verified with Network Traffic Analyzer logs.","P1 Critical",Network Operations Center (NOC),2024-11-25 18:45:00
TKT-2024-00090,"VLAN Misconfiguration","Network Operations Center reported a VLAN misconfiguration between DC-B and DC-C.","Network","Fixed the VLAN settings and tested connectivity. Verified with ping and traceroute.","P3 Medium",Network Operations Center (NOC),2024-12-27 19:55:00
TKT-2024-00091,"Phishing Incident","Security Operations Center reported a phishing incident on PROD-SERVER-05.","Security","Isolated the server, ran a full scan, and restored data from backup. Verified with Bitdefender Enterprise Edition.","P1 Critical",Security Operations Center (SOC),2024-12-31 17:05:00
TKT-2024-00092,"Network Configuration","Network Operations Center reported a network configuration issue on PROD-NETWORK-01.","Network","Checked the network path and resolved with AWS Route 53 optimization. Verified with Network Traffic Analyzer logs.","P3 Medium",Network Operations Center (NOC),2024-11-18 17:15:00
TKT-2024-00093,"Vulnerability Scan","Security Operations Center reported a new vulnerability scan on PROD-SERVER-05.","Security","Applied patches and configured remediation scripts. Verified with Nessus scan.","P2 High",Security Operations Center (SOC),2024-12-07 19:25:00
TKT-2024-00094,"Deployment Issues","Application Support Team reported deployment issues on PROD-APP-08.","Application","Fixed the deployment scripts and redeployed. Verified with Jira.","P2 High",Application Support Team,2024-12-24 17:35:00
TKT-2024-00095,"MFA Failure","Identity & Access Management (IAM) reported an MFA failure for PROD-WEB-09.","Access Management","Enabled MFA for the user and verified with Azure AD PowerShell module.","P2 High",Identity & Access Management (IAM),2024-12-26 18:45:00
TKT-2024-00096,"Webhook Timeout","Application Support Team reported a webhook timeout on PROD-APP-07.","Application","Checked the network latency and configured retry logic. Verified with Postman.","P2 High",Application Support Team,2024-12-28 19:55:00
TKT-2024-00097,"Firewall Rule Issue","Network Operations Center reported an issue with firewall rules on PROD-NETWORK-01.","Network","Updated the firewall rules and verified with AWS Firewall Manager logs.","P3 Medium",Network Operations Center (NOC),2024-12-25 18:05:00
TKT-2024-00098,"Offboarding User","Identity & Access Management (IAM) reported an offboarding user issue for PROD-WEB-09.","Access Management","Removed the user from all groups and updated access controls. Verified with Azure AD PowerShell module.","P2 High",Identity & Access Management (IAM),2024-12-30 17:15:00
TKT-2024-00099,"Connection Pool Issue","Database Administration (DBA) reported a connection pool issue on PROD-MYSQL-04.","Database","Reconfigured the connection pool settings and verified with SQL*Plus.","P3 Medium",Database Administration (DBA),2024-12-22 17:25:00
TKT-2024-00100,"Grafana Alert","Cloud Platform Engineering reported a Grafana alert on PROD-METRICS-01.","Infrastructure","Checked the metrics and configured alert thresholds. Verified with Grafana dashboard.","P3 Medium",Cloud Platform Engineering,2024-12-27 19:35:00
TKT-2024-00101,"K8s Pod Eviction","PROD-K8S-03 pod evicted due to resource constraints. Increased memory limits using Helm.",Infrastructure,"kubectl scale deployment/prod-k8s-deployment --replicas=5",P3,Cloud Platform Engineering,"2024-02-15 10:30:00"
TKT-2024-00102,"Redis Cache Misses","STG-REDIS-01 cache misses after recent update. Restarted Redis instance.",Application,"redis-cli -h stg-redis-01 restart",P2,Application Support Team,"2024-03-20 14:45:00"
TKT-2024-00103,"Aurora Failover","Database instance failed over to standby. Checked logs for any errors.",Database,"aws rds failover --db-cluster-identifier my-db-cluster",P1,DBA,"2024-04-05 08:15:00"
TKT-2024-00104,"Zero-Day Patching","Ransomware containment initiated. Identified potential threats using Qualys.",Security,"ran ransomware containment script on affected servers",P3,SOC,"2024-05-10 16:20:00"
TKT-2024-00105,"MTU Black Hole","Network issue identified. Fixed MTU setting using ip link command.",Network,"ip link set eth0 mtu 1400",P3,NOC,"2024-06-15 11:00:00"
TKT-2024-00106,"BGP Route Leak","Detected BGP route leak. Corrected using BGP commands.",Network,"bgpctl -c 'update ip 192.168.1.0/24 next-hop 10.0.0.1'" ,P3,NOC,"2024-07-20 15:15:00"
TKT-2024-00107,"WAF Rule Tuning","WAF rules need tuning to block malicious traffic.",Security,"Updated WAF rules using AWS WAF console",P2,SOC,"2024-08-30 09:45:00"
TKT-2024-00108,"Traceroute Anomalies","Traceroute anomalies detected. Investigated and fixed routing issues.",Network,"traceroute myserver.com",P3,NOC,"2024-09-15 10:30:00"
TKT-2024-00109,"GRPC Timeouts","gRPC request timed out. Checked server logs for errors.",Application,"grpc_cli call myserver service.method",P2,Application Support Team,"2024-10-20 13:50:00"
TKT-2024-00110,"SIEM Correlation","Investigate alert in SIEM. Found root cause using Datadog.",Security,"datadog-cli query 'sum:system.cpu.usage{environment:production}'",P2,SOC,"2024-11-30 17:45:00"
TKT-2024-00111,"Phishing Campaigns","Multiple phishing emails detected. Updated security policies.",Security,"Updated phishing filters in Exchange Online",P3,SOC,"2024-12-05 16:10:00"
TKT-2024-00112,"S3 Bucket Policies","Incorrect S3 bucket policy allowed unauthorized access. Updated policy.",Infrastructure,"aws s3api put-bucket-policy --bucket my-bucket --policy file://policy.json",P3,Cloud Platform Engineering,"2024-01-15 09:05:00"
TKT-2024-00113,"Blue-Green Deploy Failures","Deployment failed. Fixed deployment script.",Application,"Fixed typo in blue-green-deploy.sh",P4,Application Support Team,"2024-02-20 11:35:00"
